DatePlayed,VisitorHome,Team,Q1,Q2,Q3,Q4,OT,EQ1,EQ2,EQ3,EQ4,EOG,EndingDigitQ1,EndingDigitQ2,EndingDigitQ3,EndingDigitQ4,EndingDigitFinal
1/3/2021,V,WAS,10,7,0,3,,10,17,17,20,20,0,7,7,0,0
1/3/2021,H,PHI,0,14,0,0,,0,14,14,14,14,0,4,4,4,4
1/3/2021,V,ARZ,7,0,0,0,,7,7,7,7,7,7,7,7,7,7
1/3/2021,H,LAR,0,12,3,3,,0,12,15,18,18,0,2,5,8,8
1/3/2021,V,GB,0,21,0,14,,0,21,21,35,35,0,1,1,5,5
1/3/2021,H,CHI,7,6,3,0,,7,13,16,16,16,7,3,6,6,6
1/3/2021,V,JAX,0,7,7,0,,0,7,14,14,14,0,7,4,4,4
1/3/2021,H,IND,10,10,0,8,,10,20,20,28,28,0,0,0,8,8
1/3/2021,V,LV,3,14,0,15,,3,17,17,32,32,3,7,7,2,2
1/3/2021,H,DEN,10,0,6,15,,10,10,16,31,31,0,0,6,1,1
1/3/2021,V,LAC,7,17,7,7,,7,24,31,38,38,7,4,1,8,8
1/3/2021,H,KC,7,7,0,7,,7,14,14,21,21,7,4,4,1,1
1/3/2021,V,NO,7,9,10,7,,7,16,26,33,33,7,6,6,3,3
1/3/2021,H,CAR,7,0,0,0,,7,7,7,7,7,7,7,7,7,7
1/3/2021,V,SEA,3,3,0,20,,3,6,6,26,26,3,6,6,6,6
1/3/2021,H,SF,0,3,6,14,,0,3,9,23,23,0,3,9,3,3
1/3/2021,V,TEN,3,14,14,10,,3,17,31,41,41,3,7,1,1,1
1/3/2021,H,HOU,3,6,19,10,,3,9,28,38,38,3,9,8,8,8
1/3/2021,V,ATL,3,7,10,7,,3,10,20,27,27,3,0,0,7,7
1/3/2021,H,TB,10,13,0,21,,10,23,23,44,44,0,3,3,4,4
1/3/2021,V,BAL,10,7,21,0,,10,17,38,38,38,0,7,8,8,8
1/3/2021,H,CIN,0,3,0,0,,0,3,3,3,3,0,3,3,3,3
1/3/2021,V,DAL,3,6,7,3,,3,9,16,19,19,3,9,6,9,9
1/3/2021,H,NYG,6,14,0,3,,6,20,20,23,23,6,0,0,3,3
1/3/2021,V,MIA,3,3,7,13,,3,6,13,26,26,3,6,3,6,6
1/3/2021,H,BUF,0,28,7,21,,0,28,35,56,56,0,8,5,6,6
1/3/2021,V,MIN,7,14,10,6,,7,21,31,37,37,7,1,1,7,7
1/3/2021,H,DET,6,10,13,6,,6,16,29,35,35,6,6,9,5,5
1/3/2021,V,NYJ,0,7,7,0,,0,7,14,14,14,0,7,4,4,4
1/3/2021,H,NE,7,0,7,14,,7,7,14,28,28,7,7,4,8,8
1/3/2021,V,PIT,0,6,3,13,,0,6,9,22,22,0,6,9,2,2
1/3/2021,H,CLE,7,3,7,7,,7,10,17,24,24,7,0,7,4,4
1/9/2021,V,TB,9,9,0,13,,9,18,18,31,31,9,8,8,1,1
1/9/2021,H,WAS,0,7,9,7,,0,7,16,23,23,0,7,6,3,3
1/9/2021,V,LAR,3,17,0,10,,3,20,20,30,30,3,0,0,0,0
1/9/2021,H,SEA,0,10,3,7,,0,10,13,20,20,0,0,3,0,0
1/9/2021,V,IND,3,7,0,14,,3,10,10,24,24,3,0,0,4,4
1/9/2021,H,BUF,7,7,3,10,,7,14,17,27,27,7,4,7,7,7
1/10/2021,V,CLE,28,7,0,13,,28,35,35,48,48,8,5,5,8,8
1/10/2021,H,PIT,0,10,13,14,,0,10,23,37,37,0,0,3,7,7
1/10/2021,V,CHI,0,3,0,6,,0,3,3,9,9,0,3,3,9,9
1/10/2021,H,NO,7,0,7,7,,7,7,14,21,21,7,7,4,1,1
1/10/2021,V,BAL,0,10,7,3,,0,10,17,20,20,0,0,7,0,0
1/10/2021,H,TEN,10,0,0,3,,10,10,10,13,13,0,0,0,3,3
9/10/2021,V,HOU,7,0,0,13,,7,7,7,20,20,7,7,7,0,0
9/10/2021,H,KC,0,17,7,10,,0,17,24,34,34,0,7,4,4,4
9/13/2021,V,DAL,0,14,3,0,,0,14,17,17,17,0,4,7,7,7
9/13/2021,H,LAR,7,6,7,0,,7,13,20,20,20,7,3,0,0,0
9/13/2021,V,ARZ,7,3,0,14,,7,10,10,24,24,7,0,0,4,4
9/13/2021,H,SF,10,3,0,7,,10,13,13,20,20,0,3,3,0,0
9/13/2021,V,TB,7,0,10,6,,7,7,17,23,23,7,7,7,3,3
9/13/2021,H,NO,0,17,7,10,,0,17,24,34,34,0,7,4,4,4
9/13/2021,V,LAC,0,6,0,10,,0,6,6,16,16,0,6,6,6,6
9/13/2021,H,CIN,7,0,6,0,,7,7,13,13,13,7,7,3,3,3
9/13/2021,V,CHI,3,3,0,21,,3,6,6,27,27,3,6,6,7,7
9/13/2021,H,DET,3,10,10,0,,3,13,23,23,23,3,3,3,3,3
9/13/2021,V,CLE,6,0,0,0,,6,6,6,6,6,6,6,6,6,6
9/13/2021,H,BAL,10,14,7,7,,10,24,31,38,38,0,4,1,8,8
9/13/2021,V,GB,3,19,7,14,,3,22,29,43,43,3,2,9,3,3
9/13/2021,H,MIN,7,3,0,24,,7,10,10,34,34,7,0,0,4,4
9/13/2021,V,IND,7,10,0,3,,7,17,17,20,20,7,7,7,0,0
9/13/2021,H,JAX,0,14,3,10,,0,14,17,27,27,0,4,7,7,7
9/13/2021,V,LV,7,10,10,7,,7,17,27,34,34,7,7,7,4,4
9/13/2021,H,CAR,9,6,0,15,,9,15,15,30,30,9,5,5,0,0
9/13/2021,V,MIA,0,3,0,8,,0,3,3,11,11,0,3,3,1,1
